Srl.,State,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons
1, Andhra Pradesh,01.01.2011,475,38050,01.01.2011,475,38050,01.01.2013,460,37961,01.01.2015,278,19848,01.01.2016,278,19848,01.01.2017,258,23138,01.01.2007,4487,131,01.01.2012,7413,302,01.01.2013,7799,420,41640,8199,369,01.01.2015,4414,264,01.01.2016,4414,264,01.01.2017,5114,491
2, Arunachal Pradesh ,01.01.2009,161,2218,01.01.2009,161,2218,01.01.2013,384,5010,01.01.2015,212,2313,01.01.2015,212,2313,31.12.2016,212,2313,01.01.2009,445,40,01.01.2012,411,39,01.01.2013,370,45,41640,418,53,01.01.2015,418,53,01.01.2015,418,53,01.01.2015,418,53
3, Assam ,01.01.2010,153,7622,01.01.2010,153,7622,01.01.2013,1020,10179,01.01.2014,1137,13381,01.01.2016,1175,16791,31.12.2016,1215,16862,01.01.2011,3844,89,01.01.2011,3844,89,01.01.2013,4676,177,41640,4401,262,01.01.2014,4401,262,01.01.2016,4522,284,01.01.2016,4522,284
4, Bihar ,01.09.2008,1717,22494,01.01.2012,230,18516,01.01.2013,671,13231,01.01.2014,1436,11552,01.01.2014,1436,11552,31.12.2016,1033,12019,01.09.2008,3979,26,01.01.2008,3979,26,01.01.2013,1206,91,41640,4963,387,01.01.2015,3576,405,01.01.2015,3576,405,01.01.2015,3576,405
5, Chattisgarh,01.01.2008,218,9428,01.01.2009,218,9428,01.01.2013,2023,10770,01.01.2014,637,12012,01.01.2014,637,12012,01.01.2016,214,9412,01.01.2008,1171,16,01.01.2008,1171,16,01.01.2013,1602,13,41640,1008,62,01.01.2014,1008,62,01.01.2014,1008,62,01.01.2017,1626,10
6, Goa ,01.01.2011,20,2686,01.01.2012,17,2609,01.01.2013,11,2510,01.01.2015,31,3118,31.12.2015,33,3114,31.12.2016,33,3646,01.01.2011,351,19,01.01.2012,312,17,01.01.2012,312,17,41640,419,18,01.01.2015,516,18,01.01.2016,569,29,01.01.2017,651,72
7, Gujarat ,01.01.2010,373,28958,01.01.2012,445,193210,01.01.2013,1553,35470,01.01.2015,385,27928,01.01.2015,385,27928,31.12.2016,486,32280,01.01.2010,2282,40,01.01.2010,2282,40,01.01.2013,3586,280,41640,3484,60,01.01.2015,3600,59,01.01.2015,3600,59,01.01.2017,5475,174
8, Haryana ,01.01.2010,154,7879,01.01.2010,154,7879,01.01.2010,154,7879,01.01.2014,159,7664,01.01.2014,159,7664,01.01.2014,159,7664,01.01.2010,2191,399,01.01.2010,2764,496,01.01.2012,2764,496,40909,2764,496,01.01.2015,2618,566,01.01.2015,2618,566,01.01.2015,2618,566
9, Himachal Pradesh ,01.01.2010,142,7961,01.01.2012,150,8479,01.01.2013,151,8485,01.01.2015,160,8776,18.11.2015,164,9431,18.11.2015,164,9431,01.01.2000,NA,272,01.01.2012,4919,105,01.01.2012,4919,105,40909,4919,105,01.01.2012,4919,105,01.01.2016,1517,276,01.01.2016,1517,276
10, Jammu & Kashmir,01.01.2008,92,3945,01.01.2008,92,3945,01.01.2008,1969,7318,01.01.2015,2812,9760,31.01.2016,2445,8491,30.12.2016,132,11651,01.01.2009,2185,257,01.01.2008,2185,257,01.01.2013,2518,575,41640,2948,605,01.01.2015,3589,588,01.01.2016,3647,614,01.01.2017,4058,513
11, Jharkhand ,01.01.2008,500,5414,01.01.2008,500,5414,01.01.2011,549,5414,01.01.2012,549,5414,31.12.2015,555,10784,31.12.2015,555,10784,01.01.2008,1701,40,01.01.2008,1701,40,01.01.2012,1701,40,40909,1701,40,01.01.2015,1656,40,01.01.2016,1793,32,01.01.2016,1793,32
12, Karnataka ,01.01.2010,919,63741,01.01.2010,919,63741,01.01.2013,765,51986,01.01.2015,654,53022,31.12.2015,494,49558,31.12.2016,475,49434,01.01.2011,4928,349,01.01.2011,4928,349,01.01.2013,4648,330,41640,4611,330,01.01.2015,4606,417,01.01.2016,4556,388,01.01.2017,4705,338
13, Kerala  ,01.01.2010,386,31285,01.01.2012,446,31960,01.01.2013,1255,37021,01.01.2015,1278,38400,01.01.2015,1278,38400,01.01.2017,1280,38004,01.01.2011,4861,105,01.01.2012,5309,105,01.01.2013,3878,68,41640,5077,121,01.01.2015,5214,121,01.01.2015,5214,121,01.01.2017,5239,172
14, Madhya Pradesh ,01.01.2011,457,28533,01.01.2011,457,28533,01.01.2013,1539,30302,01.01.2015,451,28187,01.01.2016,451,28839,01.01.2016,451,28839,01.01.2008,3662,NA,01.01.2012,4076,80,01.01.2013,4929,152,41640,4240,110,01.01.2015,4929,152,01.01.2016,4156,107,01.01.2016,4156,107
15, Maharashtra ,01.01.2011,1772,50003,01.01.2012,1366,67954,01.01.2013,1173,47217,01.01.2014,585,163865,01.01.2014,585,163865,31.12.2015,711,51446,01.01.2011,4528,54,01.01.2011,4528,54,01.01.2011,14509,54,41640,4117,27,01.01.2015,4217,31,01.01.2015,4217,31,31.12.2015,6981,80
16, Manipur ,01.01.2011,31,2318,01.01.2012,225,1385,01.01.2012,225,1385,01.01.2014,30,1427,01.01.2014,30,1427,01.01.2014,30,1427,01.01.2009,584,35,01.01.2012,714,89,01.01.2012,714,89,41640,814,81,01.01.2014,814,81,01.01.2014,814,81,01.01.2017,1099,86
17, Meghalaya ,01.01.2011,39,2837,01.01.2011,39,2837,01.01.2013,40,2957,01.01.2015,40,3127,31.12.2015,40,3097,31.12.2015,40,3097,01.01.2010,504,52,01.01.2012,649,58,01.01.2013,544,57,41640,595,64,01.01.2015,601,64,01.01.2016,659,64,01.01.2016,659,64
18, Mizoram,01.01.2010,25,1511,01.01.2012,27,1430,01.01.2013,22,1064,01.01.2014,36,1630,31.03.2016,24,1399,31.12.2016,34,1628,01.01.2011,298,28,01.01.2012,439,32,01.01.2013,211,27,41640,327,60,01.01.2015,315,75,01.01.2016,323,28,01.01.2017,239,27
19, Nagaland,01.01.2010,48,2150,01.01.2010,48,2150,01.01.2013,53,2427,01.01.2013,53,2427,31.12.2015,36,1880,31.12.2015,36,1880,01.01.2011,327,27,01.01.2011,327,27,01.01.20111,327,27,40544,327,27,01.01.2015,437,33,01.01.2016,437,33,01.01.2016,437,33
20, Orissa,01.01.2011,1709,15880,01.01.2012,1750,15814,01.01.2013,1750,16683,01.01.2015,1750,16683,31.12.2015,1750,16683,31.12.2016,1789,18519,01.01.2011,4258,16,01.01.2012,3922,16,01.01.2013,3435,14,41640,3227,34,01.01.2015,4296,34,01.01.2016,3745,34,01.01.2016,3745,34
21, Punjab,01.01.2008,231,10620,01.01.2012,213,10423,01.01.2013,243,11419,01.01.2015,240,11804,31.12.2015,240,11804,31.12.2016,241,11834,01.01.2005,3545,230,01.01.2012,3545,230,01.01.2005,3545,230,38443,3545,230,01.01.2015,3121,255,01.01.2015,3121,255,01.01.2017,3286,300
22, Rajasthan,01.01.2008,475,32067,01.01.2012,826,25990,01.01.2013,2512,38617,01.01.2015,3145,46669,01.01.2015,3145,46669,31.12.2016,752,31848,01.01.2009,6285,107,01.01.2012,7872,114,01.01.2013,9551,385,41640,7491,330,01.01.2015,7877,370,01.01.2015,8788,395,01.01.2017,7616,348
23, Sikkim,01.01.2011,33,1560,01.01.2012,33,1560,01.01.2012,33,1560,01.01.2015,33,1560,01.01.2015,33,1560,31.12.2016,33,1560,01.01.2011,373,35,01.01.2011,373,35,01.01.2013,273,37,41640,265,36,01.01.2014,268,42,01.01.2014,268,42,01.01.2017,254,48
24, Tamil Nadu ,01.01.2008,581,47198,01.01.2008,581,47198,01.01.2013,1995,62229,01.01.2014,788,64243,01.01.2016,563,58258,01.01.2016,563,58258,01.01.2011,2676,100,01.01.2011,2676,100,01.01.2013,13538,467,41640,7178,166,01.01.2014,7178,166,01.01.2016,7233,205,01.01.2016,7233,205
25,Telangana,-,-,-,-,-,-,-,-,-,-,-,-,01.01.2016,223,18489,01.01.2016,178,15255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01.01.2016,3775,217,01.01.2017,4123,201
26, Tripura,01.01.2011,32,3032,01.01.2011,32,3032,01.01.2013,39,3485,01.01.2015,122,4137,31.12.2015,118,5236,31.12.2016,140,4806,01.01.2011,737,102,01.01.2012,827,100,01.01.2013,842,39,41640,886,96,01.01.2015,1050,87,01.01.2016,935,84,01.01.2017,1021,90
27, Uttar Pradesh ,01.01.2011,861,56384,01.01.2011,861,56384,01.01.2011,861,56384,01.01.2011,831,NA,31.12.2015,964,59945,31.12.2015,964,59945,01.01.2011,10164,278,01.01.2011,10164,278,01.01.2011,10164,278,41640,9835,198,01.01.2015,10798,198,01.01.2016,10754,188,01.01.2016,10754,188
28, Uttarakhand ,01.01.2009,695,7965,01.01.2009,695,7965,01.01.2009,695,7965,01.01.2009,695,7965,31.12.2015,460,8512,31.12.2015,460,8512,01.01.2011,1121,70,01.01.2011,1121,70,01.01.2011,1060,70,40544,1060,70,01.01.2015,1242,57,01.01.2016,1263,74,01.01.2017,1344,59
29, West Bengal ,01.01.2010,294,54759,01.01.2012,654,71191,01.01.2013,1566,77210,01.01.2015,1566,78566,01.01.2015,1566,78566,01.01.2015,1566,78566,01.01.2011,9426,390,01.01.2012,10854,597,01.01.2013,3325,647,41640,9474,647,01.01.2015,8829,647,01.01.2015,8829,647,01.01.2015,8829,647
30, A. & N. Islands,01.01.2011,8,835,01.01.2012,32,1075,01.01.2012,32,1075,01.01.2012,32,1075,01.01.2012,32,1075,31.12.2016,30,1075,01.01.2011,110,6,01.01.2012,110,6,01.01.2013,90,6,41640,87,5,01.01.2014,87,5,01.01.2014,87,5,01.01.2017,72,6
31, Chandigarh ,01.01.2011,4,620,01.01.2011,4,620,01.01.2013,5,1750,01.01.2015,4,700,31.12.2015,4,700,31.12.2016,4,778,01.01.2011,117,15,01.01.2011,117,15,01.01.2013,110,17,41275,110,17,01.01.2015,110,17,01.01.2016,138,17,01.01.2017,141,17
32, Dadra & Nagar Haveli,01.01.2011,2,281,01.01.2012,2,281,01.01.2012,2,281,13.05.2015,2,372,31.12.2015,2,352,31.12.2016,4,476,01.01.2011,71,8,01.01.2012,71,8,01.01.2013,19,4,41640,73,12,01.01.2015,78,13,01.01.2015,86,13,01.01.2017,118,23
33, Daman & Diu ,01.01.2011,4,200,01.01.2012,4,200,01.01.2013,4,200,01.01.2014,4,200,31.12.2015,,230,31.12.2015,5,240,01.01.2010,38,4,01.01.2012,39,4,01.01.2013,56,5,41640,61,5,01.01.2015,56,5,01.01.2016,57,4,01.01.2017,59,5
34, Delhi ,01.01.2009,130,23858,01.01.2009,126,43109,01.01.2013,109,22961,01.01.2015,109,24383,01.01.2015,109,24383,01.01.2015,109,24383,01.01.2003,3629,71,01.01.2003,3629,71,01.01.2013,7749,136,41275,7749,136,01.01.2015,9121,312,01.01.2015,9121,312,01.01.2015,9121,312
35, Lakshadweep ,01.01.2011,5,160,01.01.2012,5,160,01.01.2012,3,120,01.01.2015,9,300,01.01.2016,9,300,01.01.2016,9,300,01.01.2008,23,1,01.01.2012,25,1,01.01.2013,22,10,41275,22,10,01.01.2015,29,1,01.01.2015,29,1,01.01.2015,29,1
36, Puducherry,01.01.2011,14,2341,01.01.2012,53,2578,01.01.2013,50,2103,01.01.2014,53,3271,01.01.2016,14,3569,01.01.2016,14,3569,01.01.2011,353,9,01.01.2012,352,9,01.01.2013,430,10,41640,418,9,01.01.2015,427,9,01.01.2016,700,61,01.01.2017,700,61
